Type,Year,County,Population,Incidence,Legend
Neuroinvasive disease cases,1999-2022,08003,15715,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,08005,586433,0.63,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,08007,12027,0.69,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,08009,3779,3.31,>1.10
Neuroinvasive disease cases,1999-2022,08011,6424,4.54,>1.10
Neuroinvasive disease cases,1999-2022,08013,300045,2.11,>1.10
Neuroinvasive disease cases,1999-2022,08014,57485,2.10,>1.10
Neuroinvasive disease cases,1999-2022,08015,18035,0.69,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,08017,1863,8.95,>1.10
Neuroinvasive disease cases,1999-2022,08019,9012,0.92,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,08023,3640,2.29,>1.10
Neuroinvasive disease cases,1999-2022,08025,5884,4.96,>1.10
Neuroinvasive disease cases,1999-2022,08029,30398,8.09,>1.10
Neuroinvasive disease cases,1999-2022,08031,620250,0.94,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,08035,292626,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,08037,52048,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,08039,23175,0.90,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,08041,637376,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,08043,47393,1.76,>1.10
Neuroinvasive disease cases,1999-2022,08045,56049,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,08049,14564,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,08055,6527,2.55,>1.10
Neuroinvasive disease cases,1999-2022,08059,540582,0.71,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,08063,8183,0.51,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,08067,51886,1.45,>1.10
Neuroinvasive disease cases,1999-2022,08069,305320,2.12,>1.10
Neuroinvasive disease cases,1999-2022,08071,15054,1.38,>1.10
Neuroinvasive disease cases,1999-2022,08073,5420,3.84,>1.10
Neuroinvasive disease cases,1999-2022,08075,22577,4.98,>1.10
Neuroinvasive disease cases,1999-2022,08077,147205,2.18,>1.10
Neuroinvasive disease cases,1999-2022,08083,25489,1.63,>1.10
Neuroinvasive disease cases,1999-2022,08085,40980,6.30,>1.10
Neuroinvasive disease cases,1999-2022,08087,28450,3.37,>1.10
Neuroinvasive disease cases,1999-2022,08089,18837,3.54,>1.10
Neuroinvasive disease cases,1999-2022,08095,4402,1.89,>1.10
Neuroinvasive disease cases,1999-2022,08099,12500,4.00,>1.10
Neuroinvasive disease cases,1999-2022,08101,160208,1.90,>1.10
Neuroinvasive disease cases,1999-2022,08103,6751,1.85,>1.10
Neuroinvasive disease cases,1999-2022,08105,11914,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,08113,7491,1.11,>1.10
Neuroinvasive disease cases,1999-2022,08115,2371,5.27,>1.10
Neuroinvasive disease cases,1999-2022,08119,23378,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,08121,4750,6.14,>1.10
Neuroinvasive disease cases,1999-2022,08123,258867,4.31,>1.10
Neuroinvasive disease cases,1999-2022,08125,10138,2.05,>1.10
Neuroinvasive disease cases,1999-2022,09001,928099,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,09003,896900,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,09005,188979,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,09007,166199,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,09009,863974,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,09011,273086,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,09013,153066,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,09015,118329,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,10001,165161,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,10003,542031,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,10005,200398,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,11001,620290,0.50,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,12001,249879,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12005,169587,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,12009,544442,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12011,1787096,0.02,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12013,14725,0.57,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,12015,159926,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12017,139782,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12019,192335,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12021,327670,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12027,34847,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12031,872483,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12033,299478,0.58,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,12039,47372,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12045,15767,0.79,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,12051,38968,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12055,98493,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12057,1255639,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12059,19841,0.84,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,12063,49204,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12065,14527,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12067,8801,0.47,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,12069,300547,0.01,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12071,631198,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12073,278420,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12079,19134,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,12081,327619,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12083,332325,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12085,147904,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12086,2544511,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12087,73988,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12089,74166,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12091,183205,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12095,1170699,0.01,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12097,278669,0.01,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12099,1336875,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12101,466529,0.02,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12103,918574,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12105,610026,0.01,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12107,73657,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12109,196165,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12113,155796,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12115,382298,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12119,98011,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12121,43365,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,12123,22666,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12125,15308,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12127,494558,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12129,30977,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,12131,55613,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,12133,24516,0.85,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13005,11150,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13015,100110,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13017,17595,0.71,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13021,156297,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13025,18549,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13029,31300,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13031,72642,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13033,23513,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13047,64771,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13051,271665,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13057,217769,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13059,118229,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13063,262081,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13067,696629,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13069,42998,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13073,128832,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13081,23753,0.53,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13085,22334,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13087,27655,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13089,698496,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13095,95080,0.96,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13097,133128,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13099,10791,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13101,4063,1.03,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13113,107171,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13115,96174,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13117,181828,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13121,947582,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13127,80123,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13135,822407,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13139,182299,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13151,206934,0.02,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13153,143557,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13161,15161,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13167,10003,0.83,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13171,18153,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13177,28585,0.58,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13185,111519,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13189,21614,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13191,14226,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13193,14452,0.58,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13201,6072,2.06,>1.10
Neuroinvasive disease cases,1999-2022,13205,23399,0.53,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13211,17906,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13215,195340,0.70,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13223,143606,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13229,18769,0.67,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13231,17792,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13233,41277,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13239,2454,1.70,>1.10
Neuroinvasive disease cases,1999-2022,13243,7570,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13245,200618,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13247,85423,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13253,8766,0.48,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13255,64045,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13257,25763,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13261,31993,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13269,8513,0.49,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13275,44591,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13277,41160,0.40,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13279,27198,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13283,6823,0.61,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13295,68825,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13299,36279,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,13305,30301,0.41,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,13311,27401,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13313,102909,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,13321,21516,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,16001,401352,0.47,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,16003,3981,2.09,>1.10
Neuroinvasive disease cases,1999-2022,16005,83657,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,16011,45903,2.09,>1.10
Neuroinvasive disease cases,1999-2022,16013,21085,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,16015,6986,0.60,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,16019,105833,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,16021,10822,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,16025,1113,3.74,>1.10
Neuroinvasive disease cases,1999-2022,16027,191392,1.04,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,16029,6841,0.61,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,16031,23111,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,16039,26237,1.75,>1.10
Neuroinvasive disease cases,1999-2022,16041,12813,0.65,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,16045,16696,2.25,>1.10
Neuroinvasive disease cases,1999-2022,16047,15352,2.99,>1.10
Neuroinvasive disease cases,1999-2022,16051,26315,0.48,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,16053,22516,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,16055,140986,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,16059,7985,1.57,>1.10
Neuroinvasive disease cases,1999-2022,16061,3805,2.19,>1.10
Neuroinvasive disease cases,1999-2022,16063,5135,4.06,>1.10
Neuroinvasive disease cases,1999-2022,16065,37937,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,16067,20208,1.86,>1.10
